Cylinders,Horsepower,Weight,Acceleration,ModelYear,Mpg
4,70,2070,18.6,78,1
4,60,1800,16.4,78,1
4,75,2158,15.5,73,1
6,110,2945,16.4,82,1
4,52,2130,24.6,82,1
8,150,3761,9.5,70,0
4,71,1990,14.9,78,1
6,116,2900,12.6,81,1
4,87,2979,19.5,72,0
4,68,2045,18.5,77,1
4,92,2865,16.4,82,1
4,112,2868,15.5,73,0
6,105,3897,18.5,75,0
8,150,4997,14,73,0
8,225,4425,10,70,0
8,165,3693,11.5,70,0
8,193,4732,18.5,70,0
8,130,4098,14,72,0
8,190,3850,8.5,70,0
4,70,2200,13.2,79,1
4,60,1834,19,71,1
4,70,1945,16.8,77,1
4,95,2372,15,70,1
4,82,2720,19.4,82,1
4,96,2702,13.5,75,1
8,150,4096,13,71,0
8,153,4129,13,72,0
4,88,2500,15.1,80,1
4,92,2585,14.5,82,1
8,140,4080,13.7,78,0
6,110,3620,18.7,78,0
8,175,4385,12,72,0
8,230,4278,9.5,73,0
4,90,2430,14.5,70,1
6,100,2914,16,75,0
6,85,3070,16.7,78,0
8,150,3940,13,79,0
4,75,2155,16.4,76,1
6,115,2595,11.3,79,1
4,76,2511,18,72,0
4,97,2489,15,74,1
6,105,3459,16,75,0
8,145,4082,13,73,0
4,75,2171,16,75,1
6,97,2984,14.5,75,0
4,75,2265,15.2,80,1
6,90,3265,18.2,79,0
8,170,4165,11.4,77,0
4,78,2300,14.5,74,1
6,110,3039,15,75,0
4,90,2678,16.5,80,1
6,110,3632,18,74,0
8,150,4257,15.5,74,0
4,67,1950,19,74,1
4,75,2210,14.4,81,1
4,48,1985,21.5,78,1
6,88,3021,16.5,73,0
8,135,3830,15.2,79,0
4,85,2310,18.5,73,0
4,74,1980,15.3,82,1
4,88,2870,18.1,80,1
4,78,2592,18.5,75,0
6,112,2835,14.7,82,0
4,70,2074,19.5,71,1
4,67,1995,16.2,82,1
8,129,3725,13.4,79,0
6,100,2945,16,73,0
8,180,3664,11,73,0
4,68,2135,16.6,78,1
6,133,3410,15.8,78,0
6,110,3520,16.4,77,0
4,93,2391,15.5,74,1
6,110,3907,21,75,0
4,88,2720,15.4,78,1
4,110,2600,12.8,77,0
6,107,2472,14,73,0
8,139,3205,11.2,78,0
6,165,3445,13.4,78,0
4,86,2464,15.5,76,1
4,78,1940,14.5,77,1
8,130,3504,12,70,0
4,71,1925,14,79,1
4,65,2020,19.2,79,1
8,150,3672,11.5,73,0
8,125,3605,15,79,0
6,88,3139,14.5,71,0
6,122,2807,13.5,73,0
6,85,2990,18.2,79,0
4,88,2640,18.6,82,1
6,88,3302,15.5,71,0
8,145,4440,14,75,0
4,79,2255,17.7,76,1
4,61,2003,19,74,1
4,97,2545,17,75,1
4,84,2490,15.7,81,1
8,142,4054,14.3,79,0
5,67,2950,19.9,80,1
8,210,4382,13.5,70,0
8,165,4274,12,72,0
6,85,3465,16.6,81,0
4,95,2515,14.8,78,0
8,215,4735,11,73,0
8,175,5140,12,71,0
6,120,2930,13.8,81,1
4,49,1867,19.5,73,1
4,86,2220,14,71,0
8,155,4502,13.5,72,0
3,100,2420,12.5,80,1
4,67,1965,15,82,1
4,115,2795,15.7,78,0
4,85,2855,17.6,78,1
6,100,3278,18,73,0
6,95,3193,17.8,76,0
8,145,3988,13,73,0
4,105,2800,14.4,80,1
4,75,2265,18.2,77,1
4,92,2434,15,80,1
6,95,3102,16.5,74,0
4,69,2130,14.7,79,1
4,54,2254,23.5,72,0
8,139,3570,12.8,78,0
4,67,2000,16,74,1
4,65,1975,19.4,81,1
4,90,2264,15.5,71,1
4,70,2120,15.5,80,1
4,100,2615,14.8,81,1
4,95,2694,15,75,0
8,137,4042,14.5,73,0
4,90,2123,14,71,1
6,97,2815,14.5,77,0
6,100,3329,15.5,71,0
4,71,2223,16.5,75,1
4,72,2290,17,80,1
4,67,3250,21.8,80,1
8,225,3086,10,70,0
8,198,4341,10,70,0
8,208,4633,11,72,0
4,65,1836,21,74,1
4,75,2542,17,74,1
6,132,2910,11.4,80,1
4,68,2155,16.5,78,1
8,148,4657,13.5,75,0
4,75,2230,14.5,78,1
4,67,1850,13.8,80,1
6,110,3360,16.6,79,0
4,65,2045,16.2,81,1
4,67,1963,15.5,74,1
8,129,3169,12,75,0
8,158,4363,13,73,0
4,72,2565,13.6,76,1
4,91,2582,14,73,0
8,225,4951,11,73,0
4,113,2234,12.5,70,1
6,95,2833,15.5,70,0
6,105,3535,19.2,78,0
6,125,3140,13.6,78,0
6,95,3785,19,75,0
4,48,2335,23.7,80,1
6,110,2962,13.5,71,0
4,86,2790,15.6,82,1
4,63,2125,14.7,82,1
4,52,2035,22.2,76,1
4,83,2075,15.9,77,1
4,88,3270,21.9,76,0
4,88,2740,16,77,1
4,67,2145,18,80,1
8,190,4325,12.2,77,0
4,88,2957,17,75,0
6,90,3211,17,75,0
4,84,2525,16,82,1
4,62,2050,17.3,81,1
4,60,1760,16.1,81,1
6,105,3353,14.5,76,0
4,96,2300,15.5,77,1
4,75,2108,15.5,74,1
3,97,2330,13.5,72,0
4,67,1985,16.4,77,1
6,105,3121,16.5,73,0
8,140,4215,13,76,0
4,62,1845,15.3,80,1
8,150,4498,14.5,75,0
6,100,3282,15,71,0
4,90,3003,20.1,80,1
4,76,2065,14.5,71,1
4,75,2125,14.5,74,1
8,110,4060,19,77,0
4,86,2226,16.5,72,0
6,85,3015,17,82,1
8,170,4654,13,73,0
6,100,3781,17,74,0
8,150,3672,11.5,72,0
4,95,2278,15.5,72,1
8,150,4190,13,76,0
8,150,3777,12.5,73,0
6,110,2725,12.6,81,1
4,70,1990,17,76,1
4,89,2755,15.8,77,1
4,80,2126,17,72,1
4,68,1985,16,81,1
4,48,2085,21.7,80,1
4,79,2625,18.6,82,1
8,220,4354,9,70,0
4,80,3230,20.4,81,1
4,58,1825,18.6,77,1
4,90,2556,13.2,79,1
4,87,2672,17.5,70,1
4,65,2110,17.9,80,1
8,170,3563,10,70,0
8,190,4422,12.5,72,0
8,167,4906,12.5,73,0
8,175,3821,11,73,0
4,71,1825,12.2,76,1
4,74,2635,18.3,81,1
8,180,4220,11.1,77,0
8,105,3725,19,81,1
4,76,2144,14.7,80,1
4,88,2279,19,73,0
8,140,4638,16,74,0
4,90,2711,15.5,80,1
4,52,1649,16.5,74,1
6,95,2904,16,73,0
4,102,3150,15.7,76,0
4,70,2125,17.3,82,1
4,84,2295,11.6,82,1
6,105,3613,16.5,74,0
4,60,1968,18.8,80,1
4,65,2110,19.2,80,1
6,85,2587,16,70,0
8,150,4699,14.5,74,0
8,198,4952,11.5,73,0
4,70,2150,14.9,79,1
8,120,3962,13.9,76,0
8,130,3840,15.4,79,0
4,65,2380,20.7,81,1
4,52,1985,19.4,78,1
6,72,3158,19.5,75,0
4,94,2379,16.5,73,0
6,95,3264,16,75,0
4,92,2288,17,72,1
8,145,3425,13.2,78,0
4,66,1800,14.4,78,1
8,180,4955,11.5,71,0
4,95,2228,14,71,1
6,90,3085,17.6,76,0
8,90,3420,22.2,79,1
4,65,1975,15.2,79,1
6,110,3415,15.8,81,0
6,72,3432,21,75,0
8,153,4154,13.5,71,0
4,53,1795,17.5,75,1
6,100,3336,17,74,0
4,95,2375,17.5,70,1
4,63,2215,14.9,81,1
8,145,4140,13.7,77,0
4,71,3190,24.8,79,1
4,75,2350,16.8,81,1
8,160,3609,8,70,0
4,84,2635,16.4,81,1
4,92,2620,14.4,81,1
8,150,3436,11,70,0
8,150,3433,12,70,0
4,81,2220,16.9,76,1
6,85,2965,15.8,78,0
4,80,2451,16.5,74,1
8,130,4295,14.9,77,0
6,95,3155,18.2,78,0
6,97,2774,15.5,70,0
4,69,2189,18,72,1
4,70,1937,14.2,76,1
4,105,2745,16.7,78,1
4,85,2575,16.2,82,1
4,70,2245,16.9,82,1
4,80,1915,14.4,79,1
5,77,3530,20.1,79,1
4,90,2670,16,79,1
6,90,2648,15,70,0
4,53,1795,17.4,76,1
4,65,2019,16.4,80,1
8,130,3870,15,76,0
4,68,2025,18.2,82,1
4,68,1970,17.6,82,1
6,90,3210,17.2,78,0
8,150,3399,11,73,0
8,145,3880,12.5,77,0
4,90,2265,15.5,73,1
8,180,4380,12.1,76,0
4,58,1755,16.9,81,1
8,165,4209,12,71,0
4,80,2164,15,72,1
8,140,3735,13.2,78,0
4,84,2385,12.9,81,1
6,108,2930,15.5,76,0
4,88,2130,14.5,71,1
4,97,2506,14.5,72,0
4,75,2542,17.5,80,1
8,150,3755,14,76,0
4,90,2950,17.3,82,1
6,100,2789,15,73,0
4,88,2160,14.5,82,1
8,125,3900,17.4,79,0
8,175,4464,11.5,71,0
4,67,1965,15.7,82,1
6,100,3233,15.4,76,0
6,100,2634,13,71,0
8,140,4294,16,72,0
8,200,4376,15,70,0
6,115,2700,12.9,79,1
6,120,3410,15.1,78,0
4,72,2408,19,71,0
8,150,4077,14,72,0
8,110,3365,15.5,78,0
4,97,2405,14.9,78,1
4,84,2370,13,82,1
4,70,1937,14,75,1
5,103,2830,15.9,78,0
4,80,2670,15,79,1
8,145,4055,12,76,0
4,46,1950,21,73,1
8,170,4668,11.5,75,0
4,78,2190,14.1,77,1
4,98,2945,14.5,75,0
4,78,2188,15.8,80,1
4,90,2735,18,82,1
8,152,4215,12.8,76,0
4,88,2890,17.3,79,0
4,60,2164,22.1,76,1
4,112,2933,14.5,72,0
8,138,3955,13.2,79,0
6,105,3380,15.8,78,0
6,76,3160,19.6,81,1
8,215,4312,8.5,70,0
6,100,3430,17.2,78,0
8,150,4237,14.5,73,0
3,90,2124,13.5,73,0
4,88,2395,18,82,1
8,140,4141,14,74,0
8,150,4464,12,73,0
4,46,1835,20.5,70,1
6,110,3645,16.2,76,0
6,90,3381,18.7,80,0
